MsgID.LOCAL_POSITION,3067.4500000,-0.1478788,0.0902637,-0.0936563
MsgID.LOCAL_VELOCITY,3067.4500000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924795,0.0980000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.STATE,0.0000000,False,False,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.LOCAL_POSITION,3067.7000000,0.0676851,-0.0725879,-0.1025878
MsgID.LOCAL_VELOCITY,3067.7000000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974515,37.7924811,0.1070000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3067.9510000,0.0380853,-0.1272480,-0.1126181
MsgID.LOCAL_VELOCITY,3067.9510000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974501,37.7924791,0.1160000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3068.2010000,-0.1335263,0.0829221,-0.1188192
MsgID.LOCAL_VELOCITY,3068.2010000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974486,37.7924791,0.1190000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3068.4510000,-0.0218963,0.0390673,-0.1185313
MsgID.LOCAL_VELOCITY,3068.4510000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974501,37.7924799,0.1140000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.LOCAL_POSITION,3068.7010000,-0.0009310,0.0176724,-0.1116377
